X,CH1,CH2,
Second,Volt,Volt,
-5.00000e-05,-4.48e+00,-3.60e-02,
-4.90000e-05,-4.56e+00,-3.40e-02,
-4.80000e-05,-4.56e+00,-3.40e-02,
-4.70000e-05,-4.48e+00,-3.60e-02,
-4.60000e-05,-4.56e+00,-3.80e-02,
-4.50000e-05,-4.56e+00,-3.40e-02,
-4.40000e-05,-4.56e+00,-3.40e-02,
-4.30000e-05,-4.56e+00,-3.60e-02,
-4.20000e-05,-4.56e+00,-3.60e-02,
-4.10000e-05,-4.56e+00,-3.80e-02,
-4.00000e-05,-4.64e+00,-3.40e-02,
-3.90000e-05,-4.56e+00,-3.60e-02,
-3.80000e-05,-4.56e+00,-3.60e-02,
-3.70000e-05,-4.64e+00,-3.80e-02,
-3.60000e-05,-4.56e+00,-3.20e-02,
-3.50000e-05,-4.64e+00,-3.60e-02,
-3.40000e-05,-4.56e+00,-3.60e-02,
-3.30000e-05,-4.64e+00,-3.40e-02,
-3.20000e-05,-4.56e+00,-3.60e-02,
-3.10000e-05,-4.64e+00,-3.40e-02,
-3.00000e-05,-4.56e+00,-3.60e-02,
-2.90000e-05,-4.64e+00,-3.40e-02,
-2.80000e-05,-4.56e+00,-3.40e-02,
-2.70000e-05,-4.64e+00,-3.60e-02,
-2.60000e-05,-4.64e+00,-3.40e-02,
-2.50000e-05,-4.56e+00,-3.60e-02,
-2.40000e-05,-4.64e+00,-3.60e-02,
-2.30000e-05,-4.56e+00,-3.20e-02,
-2.20000e-05,-4.56e+00,-3.40e-02,
-2.10000e-05,-4.72e+00,-3.60e-02,
-2.00000e-05,-4.72e+00,-3.40e-02,
-1.90000e-05,-4.56e+00,-3.60e-02,
-1.80000e-05,-4.64e+00,-3.60e-02,
-1.70000e-05,-4.56e+00,-3.20e-02,
-1.60000e-05,-4.64e+00,-3.40e-02,
-1.50000e-05,-4.72e+00,-3.60e-02,
-1.40000e-05,-4.72e+00,-3.60e-02,
-1.30000e-05,-4.64e+00,-3.20e-02,
-1.20000e-05,-4.64e+00,-3.40e-02,
-1.10000e-05,-4.72e+00,-3.60e-02,
-1.00000e-05,-4.64e+00,-3.60e-02,
-9.00000e-06,-4.72e+00,-3.20e-02,
-8.00000e-06,-4.64e+00,-3.20e-02,
-7.00000e-06,-4.72e+00,-3.60e-02,
-6.00000e-06,-4.64e+00,-3.40e-02,
-5.00000e-06,-4.72e+00,-3.20e-02,
-4.00000e-06,-4.64e+00,-3.20e-02,
-3.00000e-06,-4.80e+00,-3.60e-02,
-2.00000e-06,-4.72e+00,-3.60e-02,
-1.00000e-06,-4.72e+00,-3.20e-02,
0.00000e+00,-4.72e+00,-3.40e-02,
1.00000e-06,-3.36e+00,3.80e-02,
2.00000e-06,-3.44e+00,3.60e-02,
3.00000e-06,-3.28e+00,4.60e-02,
4.00000e-06,-3.28e+00,4.60e-02,
5.00000e-06,-3.20e+00,5.00e-02,
