X,CH1,CH2,
Second,Volt,Volt,
-1.21000e-06,1.60e-01,8.00e-03,
-1.20000e-06,-1.60e-01,8.00e-03,
-1.19000e-06,-4.00e-01,8.00e-03,
-1.18000e-06,-7.20e-01,4.00e-03,
-1.17000e-06,-1.04e+00,4.00e-03,
-1.16000e-06,-1.20e+00,4.00e-03,
-1.15000e-06,-1.44e+00,4.00e-03,
-1.14000e-06,-1.52e+00,4.00e-03,
-1.13000e-06,-1.76e+00,4.00e-03,
-1.12000e-06,-1.76e+00,4.00e-03,
-1.11000e-06,-1.68e+00,4.00e-03,
-1.10000e-06,-1.68e+00,4.00e-03,
-1.09000e-06,-1.52e+00,4.00e-03,
-1.08000e-06,-1.36e+00,4.00e-03,
-1.07000e-06,-1.12e+00,4.00e-03,
-1.06000e-06,-8.00e-01,8.00e-03,
-1.05000e-06,-5.60e-01,4.00e-03,
-1.04000e-06,-3.20e-01,8.00e-03,
-1.03000e-06,7.99e-02,8.00e-03,
-1.02000e-06,3.20e-01,8.00e-03,
-1.01000e-06,6.40e-01,1.20e-02,
-1.00000e-06,8.80e-01,1.20e-02,
-9.90000e-07,1.12e+00,1.20e-02,
-9.80000e-07,1.28e+00,1.20e-02,
-9.70000e-07,1.44e+00,1.20e-02,
-9.60000e-07,1.52e+00,1.20e-02,
-9.50000e-07,1.52e+00,1.20e-02,
-9.40000e-07,1.52e+00,1.20e-02,
-9.30000e-07,1.36e+00,1.20e-02,
-9.20000e-07,1.20e+00,8.00e-03,
-9.10000e-07,1.04e+00,1.20e-02,
-9.00000e-07,8.00e-01,8.00e-03,
-8.90000e-07,5.60e-01,8.00e-03,
-8.80000e-07,2.40e-01,8.00e-03,
-8.70000e-07,-7.99e-02,8.00e-03,
-8.60000e-07,-3.20e-01,8.00e-03,
-8.50000e-07,-6.40e-01,4.00e-03,
-8.40000e-07,-9.60e-01,8.00e-03,
-8.30000e-07,-1.12e+00,4.00e-03,
-8.20000e-07,-1.44e+00,4.00e-03,
-8.10000e-07,-1.52e+00,4.00e-03,
-8.00000e-07,-1.68e+00,4.00e-03,
-7.90000e-07,-1.68e+00,4.00e-03,
-7.80000e-07,-1.68e+00,4.00e-03,
-7.70000e-07,-1.68e+00,0.00e+00,
-7.60000e-07,-1.52e+00,4.00e-03,
-7.50000e-07,-1.36e+00,4.00e-03,
-7.40000e-07,-1.20e+00,4.00e-03,
-7.30000e-07,-9.60e-01,4.00e-03,
-7.20000e-07,-7.20e-01,4.00e-03,
-7.10000e-07,-4.00e-01,8.00e-03,
-7.00000e-07,-7.99e-02,8.00e-03,
-6.90000e-07,2.40e-01,8.00e-03,
-6.80000e-07,5.60e-01,8.00e-03,
-6.70000e-07,8.80e-01,1.20e-02,
-6.60000e-07,1.04e+00,1.20e-02,
-6.50000e-07,1.20e+00,1.20e-02,
-6.40000e-07,1.36e+00,1.20e-02,
-6.30000e-07,1.52e+00,1.20e-02,
-6.20000e-07,1.52e+00,1.20e-02,
-6.10000e-07,1.52e+00,1.20e-02,
-6.00000e-07,1.44e+00,1.60e-02,
-5.90000e-07,1.28e+00,1.20e-02,
-5.80000e-07,1.12e+00,8.00e-03,
-5.70000e-07,8.80e-01,1.20e-02,
-5.60000e-07,6.40e-01,1.20e-02,
-5.50000e-07,3.20e-01,8.00e-03,
-5.40000e-07,0.00e+00,8.00e-03,
-5.30000e-07,-3.20e-01,4.00e-03,
-5.20000e-07,-5.60e-01,4.00e-03,
-5.10000e-07,-8.00e-01,4.00e-03,
-5.00000e-07,-1.04e+00,4.00e-03,
-4.90000e-07,-1.36e+00,4.00e-03,
-4.80000e-07,-1.52e+00,4.00e-03,
-4.70000e-07,-1.60e+00,4.00e-03,
-4.60000e-07,-1.68e+00,4.00e-03,
-4.50000e-07,-1.68e+00,4.00e-03,
-4.40000e-07,-1.76e+00,4.00e-03,
-4.30000e-07,-1.60e+00,4.00e-03,
-4.20000e-07,-1.44e+00,4.00e-03,
-4.10000e-07,-1.20e+00,4.00e-03,
-4.00000e-07,-1.04e+00,4.00e-03,
-3.90000e-07,-7.20e-01,4.00e-03,
-3.80000e-07,-4.80e-01,8.00e-03,
-3.70000e-07,-2.40e-01,8.00e-03,
-3.60000e-07,7.99e-02,8.00e-03,
-3.50000e-07,4.80e-01,8.00e-03,
-3.40000e-07,7.20e-01,1.20e-02,
-3.30000e-07,9.60e-01,8.00e-03,
-3.20000e-07,1.12e+00,1.20e-02,
-3.10000e-07,1.36e+00,1.20e-02,
-3.00000e-07,1.44e+00,1.20e-02,
-2.90000e-07,1.52e+00,1.20e-02,
-2.80000e-07,1.52e+00,1.20e-02,
-2.70000e-07,1.44e+00,1.20e-02,
-2.60000e-07,1.36e+00,8.00e-03,
-2.50000e-07,1.20e+00,1.20e-02,
-2.40000e-07,9.60e-01,8.00e-03,
-2.30000e-07,7.20e-01,8.00e-03,
-2.20000e-07,4.80e-01,8.00e-03,
-2.10000e-07,1.60e-01,8.00e-03,
-2.00000e-07,-1.60e-01,8.00e-03,
-1.90000e-07,-4.00e-01,8.00e-03,
-1.80000e-07,-7.20e-01,4.00e-03,
-1.70000e-07,-1.04e+00,4.00e-03,
-1.60000e-07,-1.20e+00,4.00e-03,
-1.50000e-07,-1.44e+00,4.00e-03,
-1.40000e-07,-1.60e+00,4.00e-03,
-1.30000e-07,-1.76e+00,4.00e-03,
-1.20000e-07,-1.68e+00,4.00e-03,
-1.10000e-07,-1.68e+00,4.00e-03,
-1.00000e-07,-1.68e+00,4.00e-03,
-9.00000e-08,-1.52e+00,4.00e-03,
-8.00000e-08,-1.36e+00,4.00e-03,
